QBER,Key_Length,Errors,Attack
2.941176470588235,510,15,0
2.7559055118110236,508,14,0
1.858736059479554,538,10,0
2.9940119760479043,501,15,0
1.1214953271028036,535,6,0
0.819672131147541,488,4,0
1.436265709156194,557,8,0
3.262955854126679,521,17,0
1.37524557956778,509,7,0
2.2267206477732793,494,11,0
2.529182879377432,514,13,0
1.2024048096192386,499,6,0
3.225806451612903,527,17,0
0.3913894324853229,511,2,0
1.5238095238095237,525,8,0
1.5841584158415842,505,8,0
1.5594541910331383,513,8,0
3.8834951456310676,515,20,0
1.8018018018018018,555,10,0
1.0,500,5,0
0.9940357852882704,503,5,0
1.2048192771084338,498,6,0
1.6985138004246285,471,8,0
1.694915254237288,472,8,0
1.532567049808429,522,8,0
2.5048169556840074,519,13,0
1.8329938900203666,491,9,0
3.3398821218074657,509,17,0
0.5586592178770949,537,3,0
2.788844621513944,502,14,0
1.937984496124031,516,10,0
28.947368421052634,494,143,1
24.50199203187251,502,123,1
25.555555555555554,540,138,1
25.468164794007492,534,136,1
26.58730158730159,504,134,1
29.922779922779924,518,155,1
24.37137330754352,517,126,1
26.72897196261682,535,143,1
23.790322580645164,496,118,1
23.809523809523807,525,125,1
27.735849056603772,530,147,1
23.719165085388994,527,125,1
23.14990512333966,527,122,1
25.23719165085389,527,133,1
25.147347740667975,509,128,1
25.675675675675674,518,133,1
23.883495145631066,515,123,1
26.50375939849624,532,141,1
25.862068965517242,522,135,1
25.49019607843137,510,130,1
25.09157509157509,546,137,1
25.198412698412696,504,127,1
29.108910891089106,505,147,1
24.04809619238477,499,120,1
26.614481409001954,511,136,1
24.95274102079395,529,132,1
27.220077220077222,518,141,1
22.0532319391635,526,116,1
24.448897795591183,499,122,1
26.73469387755102,490,131,1
28.54368932038835,515,147,1
28.066914498141266,538,151,1
29.80392156862745,510,152,1
26.156941649899395,497,130,1
23.88663967611336,494,118,1
24.849699398797593,499,124,1
25.0,504,126,1
27.83109404990403,521,145,1
26.120857699805068,513,134,1
26.305609284332686,517,136,1
26.65406427221172,529,141,1
26.11218568665377,517,135,1
26.1758691206544,489,128,1
28.429423459244536,503,143,1
26.284584980237153,506,133,1
24.858757062146893,531,132,1
28.82703777335984,503,145,1
28.85375494071146,506,146,1
24.151696606786427,501,121,1
25.100401606425706,498,125,1
27.413127413127413,518,142,1
27.755905511811026,508,141,1
26.589595375722542,519,138,1
24.282982791587,523,127,1
25.24271844660194,515,130,1
31.914893617021278,517,165,1
25.146198830409354,513,129,1
25.2,500,126,1
25.871559633027523,545,141,1
24.089068825910932,494,119,1
31.09404990403071,521,162,1
27.115384615384613,520,141,1
24.81203007518797,532,132,1
26.785714285714285,504,135,1
27.238805970149254,536,146,1
24.952380952380953,525,131,1
23.908918406072104,527,126,1
25.43352601156069,519,132,1
26.46502835538752,529,140,1
24.34077079107505,493,120,1
25.590551181102363,508,130,1
27.680311890838205,513,142,1
26.653696498054476,514,137,1
24.334600760456272,526,128,1
25.338491295938105,517,131,1
31.147540983606557,549,171,1
28.385899814471244,539,153,1
27.893738140417458,527,147,1
25.8252427184466,515,133,1
28.846153846153843,520,150,1
24.43991853360489,491,120,1
28.294573643410853,516,146,1
23.868312757201647,486,116,1
26.546906187624753,501,133,1
27.76735459662289,533,148,1
23.157894736842106,475,110,1
27.36220472440945,508,139,1
22.22222222222222,522,116,1
25.946969696969695,528,137,1
24.705882352941178,510,126,1
27.37430167597765,537,147,1
27.969348659003828,522,146,1
27.345309381237527,501,137,1
28.100775193798448,516,145,1
24.761904761904763,525,130,1
25.303643724696357,494,125,1
28.131416837782343,487,137,1
25.862068965517242,522,135,1
26.34730538922156,501,132,1
24.554455445544555,505,124,1
27.058823529411764,510,138,1
25.720164609053498,486,125,1
28.023032629558543,521,146,1
27.03252032520325,492,133,1
25.540275049115913,509,130,1
26.666666666666668,510,136,1
